epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2306.5,1.18654,1.65424,1.47499,0.44421,0.47049,0.42576,0.2864,1.27629,1.6458,1.47852,0.0006139,0.0006139,0.0006139
80,2335.68,1.23016,1.66017,1.50122,0.40478,0.58173,0.41338,0.27833,1.2327,1.67129,1.45407,0.00060895,0.00060895,0.00060895
81,2364.83,1.2348,1.6417,1.50401,0.45688,0.47861,0.43009,0.28644,1.27975,1.56227,1.45519,0.000604,0.000604,0.000604
82,2394.01,1.209,1.59708,1.47288,0.44418,0.55211,0.45156,0.30492,1.29982,1.64802,1.47017,0.00059905,0.00059905,0.00059905
83,2423.37,1.21779,1.65548,1.50863,0.42032,0.54331,0.44227,0.30329,1.22364,1.63207,1.42238,0.0005941,0.0005941,0.0005941
84,2452.55,1.19062,1.63998,1.47455,0.3585,0.54502,0.39747,0.27819,1.15079,1.70781,1.42067,0.00058915,0.00058915,0.00058915
85,2481.44,1.2183,1.60799,1.47397,0.42831,0.54003,0.46549,0.32638,1.22286,1.62668,1.45731,0.0005842,0.0005842,0.0005842
86,2510.88,1.21203,1.62393,1.49495,0.46908,0.49228,0.49066,0.35157,1.14203,1.52605,1.3792,0.00057925,0.00057925,0.00057925
87,2540.1,1.20359,1.59349,1.49671,0.43626,0.47607,0.43927,0.31479,1.12109,1.58922,1.36273,0.0005743,0.0005743,0.0005743
88,2569.23,1.19937,1.59189,1.47867,0.41902,0.51942,0.44312,0.3085,1.14784,1.63381,1.39094,0.00056935,0.00056935,0.00056935
89,2598.28,1.20489,1.5792,1.51301,0.45958,0.53096,0.5036,0.33224,1.32408,1.53168,1.4637,0.0005644,0.0005644,0.0005644
90,2627.29,1.17568,1.52945,1.43504,0.40623,0.58086,0.45856,0.30884,1.27792,1.61019,1.44535,0.00055945,0.00055945,0.00055945
91,2656.67,1.19711,1.59966,1.48772,0.40524,0.58594,0.44611,0.31989,1.18266,1.62225,1.4309,0.0005545,0.0005545,0.0005545
92,2685.68,1.19598,1.5628,1.46861,0.38644,0.58874,0.46305,0.31881,1.21908,1.59542,1.43728,0.00054955,0.00054955,0.00054955
93,2714.84,1.17965,1.51072,1.4609,0.40612,0.60293,0.45742,0.31118,1.24053,1.58324,1.45435,0.0005446,0.0005446,0.0005446
94,2744.1,1.19563,1.55391,1.48342,0.43167,0.57843,0.46056,0.32748,1.1688,1.67322,1.39984,0.00053965,0.00053965,0.00053965
