epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1726.02,0.85362,1.37589,1.15383,0.4394,0.63084,0.53595,0.42818,0.83843,1.37542,1.18993,0.000608468,0.000608468,0.000608468
60,1756.51,0.84407,1.3879,1.16901,0.51431,0.62401,0.5832,0.46826,0.82644,1.32072,1.18597,0.000594321,0.000594321,0.000594321
61,1783.71,0.85745,1.37304,1.16574,0.53217,0.64786,0.589,0.46853,0.80385,1.34088,1.16458,0.000580174,0.000580174,0.000580174
62,1810.47,0.85066,1.33651,1.16138,0.55333,0.62382,0.59601,0.47903,0.82119,1.36433,1.18039,0.000566027,0.000566027,0.000566027
63,1837.56,0.82409,1.33432,1.15787,0.52683,0.52139,0.56143,0.44952,0.80616,1.36363,1.16446,0.00055188,0.00055188,0.00055188
64,1865.36,0.82818,1.3045,1.15727,0.51889,0.65379,0.60912,0.49283,0.79327,1.32911,1.15865,0.000537733,0.000537733,0.000537733
65,1893.03,0.82332,1.32832,1.14743,0.57246,0.53697,0.61162,0.49738,0.79493,1.30336,1.15775,0.000523586,0.000523586,0.000523586
66,1920.42,0.8087,1.27121,1.14516,0.53937,0.57292,0.6036,0.49327,0.78142,1.28556,1.14973,0.000509438,0.000509438,0.000509438
67,1947.7,0.79618,1.24665,1.12025,0.51751,0.66024,0.61303,0.49466,0.76895,1.28127,1.14869,0.000495291,0.000495291,0.000495291
68,1974.74,0.79306,1.24186,1.14111,0.53364,0.6512,0.63546,0.51395,0.76702,1.24162,1.13623,0.000481144,0.000481144,0.000481144
69,2002.58,0.8213,1.28293,1.15633,0.54166,0.62405,0.5951,0.48323,0.77034,1.28579,1.14699,0.000466997,0.000466997,0.000466997
70,2029.37,0.81721,1.26009,1.14009,0.56464,0.58157,0.61705,0.50153,0.7607,1.26509,1.12164,0.00045285,0.00045285,0.00045285
71,2055.98,0.78438,1.22966,1.13531,0.575,0.61433,0.6115,0.49567,0.78157,1.22881,1.14789,0.000438703,0.000438703,0.000438703
72,2082.74,0.79186,1.231,1.13885,0.60647,0.5977,0.64188,0.52615,0.75521,1.219,1.12475,0.000424556,0.000424556,0.000424556
73,2109.67,0.79335,1.21056,1.12948,0.5761,0.61253,0.62688,0.50762,0.75778,1.2235,1.12744,0.000410409,0.000410409,0.000410409
74,2136.96,0.7992,1.23749,1.13374,0.61173,0.60815,0.64333,0.53135,0.76214,1.18894,1.12829,0.000396262,0.000396262,0.000396262
75,2164.22,0.77062,1.20636,1.12019,0.54937,0.68056,0.64283,0.52775,0.74166,1.18028,1.12698,0.000382115,0.000382115,0.000382115
76,2192.93,0.79087,1.19191,1.13507,0.54922,0.65431,0.63105,0.51203,0.74789,1.20103,1.12897,0.000367967,0.000367967,0.000367967
77,2219.57,0.76388,1.17901,1.12026,0.57512,0.60423,0.64354,0.52774,0.74525,1.21238,1.13234,0.00035382,0.00035382,0.00035382
78,2246.22,0.76928,1.16267,1.11985,0.587,0.63172,0.65492,0.54238,0.72576,1.178,1.10732,0.000339673,0.000339673,0.000339673
79,2271.67,0.75105,1.14418,1.11342,0.52341,0.65133,0.62561,0.51503,0.72653,1.21792,1.11011,0.000325526,0.000325526,0.000325526
80,2298.39,0.76189,1.1317,1.12216,0.59881,0.66451,0.65942,0.54676,0.72936,1.167,1.09999,0.000311379,0.000311379,0.000311379
81,2324.87,0.75066,1.12797,1.11204,0.59408,0.66545,0.65151,0.53919,0.71672,1.15634,1.09666,0.000297232,0.000297232,0.000297232
82,2351.53,0.75876,1.12445,1.11946,0.64279,0.64581,0.66974,0.55233,0.72837,1.14486,1.10435,0.000283085,0.000283085,0.000283085
83,2378.66,0.76773,1.12892,1.12253,0.61115,0.65175,0.68139,0.56128,0.72691,1.14132,1.10922,0.000268938,0.000268938,0.000268938
84,2405.78,0.73892,1.1116,1.10614,0.56271,0.68563,0.6627,0.55383,0.72378,1.16756,1.10548,0.000254791,0.000254791,0.000254791
85,2433.47,0.73332,1.08597,1.09491,0.59788,0.63745,0.66775,0.54862,0.72685,1.1817,1.1085,0.000240644,0.000240644,0.000240644
86,2460.12,0.70937,1.0873,1.09042,0.57829,0.69509,0.68021,0.5621,0.71425,1.12804,1.10842,0.000226497,0.000226497,0.000226497
87,2486.29,0.72459,1.0821,1.09551,0.66327,0.61021,0.68689,0.57074,0.72198,1.12158,1.11449,0.000212349,0.000212349,0.000212349
88,2512.21,0.73138,1.07383,1.08659,0.63242,0.66065,0.68895,0.57267,0.72865,1.11334,1.11295,0.000198202,0.000198202,0.000198202
